UserID,Age,Gender,CityTier,Tenure,AvgSessionDuration,PageViewsPerSession,BounceRate,TotalTransactions,AvgOrderValue,DaysSinceLastPurchase,HighValuePurchase
10102,28,Male,1,27,11.53,8,35.66,24,153.72,290,0
10103,60,Female,3,108,19.43,24,34.95,1,1156.56,222,1
10104,18,Female,3,51,16.69,22,57.71,4,156.81,190,0
10105,60,Male,2,59,8.61,6,59.83,101,140.75,361,0
10106,59,Female,2,67,11.46,16,54.84,108,125.88,31,1
10107,59,Male,2,93,12.28,10,21.42,25,82.06,338,0
10108,53,Male,2,14,17.91,16,53.51,105,298.8,98,1
10109,42,Female,1,65,13.55,15,48.38,63,102.46,227,0
10110,55,Male,3,98,12.51,9,16.77,22,112.37,118,0
10111,32,Male,1,66,11.0,17,11.03,37,115.0,107,0
10112,59,Male,1,33,11.6,8,56.05,31,81.17,117,0
10113,47,Female,2,6,17.02,23,38.39,91,44.65,204,0
10114,42,Female,2,66,11.81,24,22.36,22,121.96,321,0
10115,44,Female,2,85,10.22,5,37.98,21,345.84,41,0
10116,48,Male,2,66,9.54,19,46.28,86,204.06,242,0
10117,19,Male,1,118,9.58,24,39.8,36,591.13,314,0
10118,25,Female,2,72,6.19,5,18.5,30,314.36,268,0
10119,31,Male,1,61,8.8,19,68.34,96,263.35,358,0
10120,24,Female,1,6,17.79,24,55.56,111,759.95,4,1
10121,41,Female,1,67,10.97,7,36.14,66,162.23,132,0
10122,53,Male,2,20,14.62,15,36.72,99,183.83,156,0
10123,52,Female,2,87,1.88,21,46.21,100,173.44,196,0
10124,42,Male,2,19,14.07,10,24.62,70,583.44,116,0
10125,63,Male,1,109,11.15,7,45.68,99,175.34,92,1
10126,47,Female,1,36,9.87,11,21.7,1,105.54,311,0
10127,22,Male,2,52,12.52,10,39.98,4,276.77,85,0
10128,58,Female,1,17,9.82,19,24.06,106,92.58,349,0
10129,48,Female,2,25,3.3,10,24.79,16,265.31,13,0
10130,51,Female,3,111,15.49,11,64.86,87,241.67,154,1
10131,47,Female,2,34,12.77,24,41.86,50,150.97,223,0
10132,47,Male,3,62,10.54,15,44.01,94,272.09,356,0
10133,22,Male,1,118,7.94,24,11.83,79,54.83,279,0
10134,47,Female,1,75,5.92,19,32.34,8,198.72,5,0
10135,60,Female,2,5,12.7,23,47.69,40,121.98,273,0
10136,34,Male,3,43,18.25,6,43.81,85,1631.66,119,1
10137,49,Male,3,46,12.61,24,9.77,110,197.62,314,1
10138,19,Male,1,33,6.27,24,44.0,96,109.9,283,0
10139,36,Male,3,29,12.7,2,46.32,107,59.72,70,0
10140,41,Female,2,60,11.59,10,59.61,114,484.44,131,0
10141,70,Male,1,45,15.26,11,31.5,107,133.19,300,0
10142,29,Female,1,35,14.23,12,8.49,69,94.4,337,0
10143,32,Female,3,49,0.5,20,26.55,40,227.49,220,0
10144,39,Female,1,41,13.98,18,25.09,60,290.49,79,0
10145,70,Male,3,27,7.79,7,51.68,95,286.94,142,0
10146,63,Male,2,54,6.11,16,3.0,51,177.72,291,0
10147,19,Female,2,114,11.05,25,34.5,99,198.14,219,0
10148,30,Female,2,61,13.44,12,61.67,84,209.72,73,0
10149,61,Male,3,72,5.24,24,41.1,25,227.51,104,0
10150,21,Female,1,119,14.62,17,54.0,110,243.76,72,0
10151,63,Male,1,74,14.85,24,17.19,101,410.94,171,1
10152,32,Female,2,27,11.99,23,17.77,71,182.87,163,0
10153,66,Male,2,48,8.33,2,61.84,23,92.54,198,0
10154,33,Male,1,59,7.88,21,42.47,27,156.37,345,0
10155,41,Female,1,57,15.9,6,42.5,100,315.05,238,0
10156,53,Male,2,18,5.76,21,24.79,2,43.44,214,0
10157,24,Male,1,12,16.06,21,42.46,58,43.63,134,0
10158,47,Male,1,42,11.14,8,24.38,74,358.18,232,0
10159,44,Male,3,110,11.42,3,58.21,27,572.77,349,0
10160,59,Female,1,86,4.97,12,80.55,103,65.23,3,0
10161,70,Male,3,101,11.21,9,48.02,62,189.26,128,0
10162,53,Female,3,21,14.25,15,31.79,7,128.14,20,0
10163,39,Female,1,50,6.45,3,4.26,38,142.78,74,0
10164,39,Male,2,70,13.79,3,16.58,47,222.09,24,0
10165,40,Male,2,52,12.16,12,63.55,26,63.84,216,0
10166,61,Female,2,50,9.22,20,26.08,112,73.79,299,0
10167,35,Female,1,43,15.22,9,35.62,43,138.35,344,0
10168,26,Female,1,6,2.99,9,50.5,60,156.24,86,0
10169,35,Female,1,103,13.19,5,62.49,64,72.71,255,0
10170,19,Male,2,112,18.28,8,38.11,26,323.99,120,0
10171,23,Male,3,9,17.56,9,35.13,68,126.35,115,0
10172,22,Female,2,50,13.36,8,42.04,42,125.94,223,0
10173,58,Male,2,62,10.59,10,31.9,1,218.17,248,0
10174,56,Female,3,94,9.26,8,32.68,48,158.26,213,0
10175,54,Male,2,119,10.59,18,46.97,70,336.3,36,0
10176,42,Female,1,50,13.98,10,43.69,14,84.5,150,0
10177,56,Male,3,90,8.57,20,71.91,93,58.84,104,0
10178,26,Male,2,113,14.83,16,47.36,79,137.44,1,0
10179,65,Male,1,100,20.33,17,57.69,37,183.42,14,0
10180,44,Male,2,35,11.55,16,25.47,71,66.49,164,0
10181,67,Female,3,98,6.42,24,48.61,36,59.28,36,0
10182,26,Male,1,49,6.42,8,30.52,77,201.74,270,0
10183,44,Male,2,2,14.91,25,46.73,18,96.9,20,0
10184,54,Male,1,91,11.56,6,50.98,73,56.36,86,0
10185,44,Male,1,101,15.31,5,41.72,6,371.58,360,0
10186,41,Female,1,41,9.67,21,75.91,2,106.91,259,0
10187,26,Male,2,54,15.12,23,61.71,30,429.08,204,0
10188,38,Female,3,44,11.17,4,58.07,20,178.93,5,0
10189,30,Male,1,14,8.87,16,52.08,58,220.24,15,0
10190,33,Female,1,120,10.2,14,66.57,19,148.39,332,0
10191,54,Male,1,2,7.01,7,20.16,29,22.06,292,0
10192,51,Male,1,67,19.76,14,60.87,11,72.1,347,0
10193,50,Female,2,1,11.41,18,26.63,106,158.66,295,1
10194,37,Female,2,83,14.38,15,32.82,88,232.59,0,0
10195,68,Female,2,109,9.65,14,49.14,26,43.33,294,0
10196,22,Male,2,77,7.59,23,58.88,14,167.83,167,0
10197,36,Male,2,73,10.86,7,24.27,102,72.92,253,0
10198,24,Female,1,100,16.2,16,33.57,80,210.14,151,1
10199,35,Male,1,117,9.72,9,42.41,106,172.37,263,0
10200,68,Female,3,104,8.32,25,38.3,21,312.54,308,0
10201,37,Female,3,28,12.42,8,53.38,43,402.18,356,0
10202,66,Female,3,68,13.8,22,90.82,14,250.33,197,0
10203,44,Female,3,99,18.37,17,47.08,50,342.37,102,0
10204,55,Female,2,35,13.22,7,30.34,19,133.16,223,0
10205,42,Male,3,81,14.38,20,22.2,0,1582.59,182,1
10206,32,Male,2,2,14.68,7,36.28,61,67.63,74,0
10207,58,Female,1,106,7.19,8,27.37,117,115.95,265,0
10208,69,Male,1,74,7.95,10,47.78,77,353.49,28,1
10209,31,Male,1,89,7.46,18,47.55,90,314.79,147,0
10210,59,Male,1,99,6.47,11,34.28,97,255.94,253,0
10211,31,Female,2,26,14.98,15,69.78,116,296.35,337,0
10212,55,Female,2,54,12.96,15,30.34,15,34.45,227,0
10213,59,Female,3,103,12.12,6,39.27,30,604.52,358,0
10214,41,Male,2,19,1.43,7,50.27,73,149.27,304,0
10215,57,Male,1,99,20.02,9,53.93,98,462.47,86,1
10216,32,Female,3,34,8.22,7,59.52,92,35.82,309,0
10217,22,Male,2,69,20.01,24,47.21,87,213.77,123,1
10218,23,Female,1,61,6.0,11,56.24,37,112.76,230,0
10219,41,Female,1,83,8.55,11,31.36,43,273.43,73,0
10220,65,Male,2,101,2.99,18,54.31,9,224.1,197,0
10221,24,Male,1,42,13.25,20,54.12,37,232.83,248,0
10222,42,Male,3,20,7.39,18,62.94,18,76.62,334,0
10223,55,Female,3,51,7.51,15,16.81,112,167.39,345,0
10224,28,Female,2,74,6.31,25,27.85,10,152.06,293,0
10225,56,Male,1,90,14.91,23,52.94,43,257.53,204,0
10226,34,Female,3,91,14.65,6,3.0,106,378.58,322,0
10227,60,Male,2,41,19.05,5,48.13,114,196.79,38,0
10228,48,Male,1,113,9.06,11,56.37,45,64.67,364,0
10229,46,Female,2,10,12.68,22,32.64,55,190.32,74,0
10230,27,Male,2,14,6.64,25,34.76,62,1341.34,147,1
10231,42,Male,2,2,10.46,18,25.43,98,631.86,332,1
10232,63,Female,1,112,9.72,18,33.44,92,17.2,262,0
10233,19,Male,2,21,13.66,7,33.86,62,183.86,311,0
10234,58,Female,1,72,15.87,16,31.1,44,362.07,251,0
10235,44,Male,1,98,15.76,6,30.3,44,151.8,219,0
10236,56,Male,1,92,8.43,14,37.07,77,122.23,63,0
10237,53,Male,3,114,15.79,6,36.89,100,142.1,364,0
10238,40,Male,1,6,11.62,3,68.17,9,269.21,232,0
10239,34,Male,2,49,10.5,25,35.28,92,71.45,244,0
10240,51,Male,2,61,8.97,23,45.99,57,442.29,156,1
10241,25,Female,3,84,9.56,18,32.64,17,167.52,348,0
10242,48,Male,2,75,18.77,17,32.45,11,84.39,164,0
10243,23,Male,3,67,13.03,7,16.29,40,420.64,69,1
10244,52,Male,1,37,12.5,15,18.22,29,52.44,65,0
10245,51,Male,1,12,10.75,19,23.5,12,113.49,255,0
10246,22,Male,2,52,21.58,14,43.66,35,112.04,272,0
10247,58,Female,2,31,17.02,8,56.6,100,931.75,75,1
10248,40,Male,3,67,8.92,11,15.09,86,102.56,255,0
10249,59,Female,3,96,10.71,22,33.04,25,32.59,365,0
10250,20,Female,2,66,10.94,8,21.18,80,111.16,194,0
10251,27,Male,3,70,12.38,25,37.17,54,249.66,355,0
10252,44,Male,2,5,9.0,20,56.6,89,322.59,57,0
10253,27,Male,1,78,13.56,23,34.52,29,1033.27,147,1
10254,35,Female,2,53,17.61,14,40.31,7,524.35,203,0
10255,53,Male,1,14,6.55,7,62.1,37,202.63,131,0
10256,25,Female,3,25,7.29,2,47.64,119,87.31,36,0
10257,53,Female,1,94,9.87,14,29.98,66,621.12,167,1
10258,23,Female,1,110,10.05,11,43.3,6,131.28,124,0
10259,27,Female,2,61,19.79,4,29.0,117,104.73,74,1
10260,49,Female,1,118,15.81,24,47.1,99,126.4,136,0
10261,60,Male,1,21,15.58,25,48.47,65,65.89,152,0
10262,27,Male,2,36,10.74,10,21.18,88,121.76,323,0
10263,33,Male,1,112,10.65,18,43.54,22,145.91,179,0
10264,67,Female,2,21,5.99,11,39.3,71,309.42,152,0
10265,70,Female,2,79,14.93,13,48.9,109,129.29,142,0
10266,48,Female,1,26,13.76,16,53.05,52,65.12,219,0
10267,41,Male,1,40,16.94,11,47.92,4,50.09,100,0
10268,36,Female,3,57,10.96,21,36.6,90,206.08,320,0
10269,50,Male,3,43,11.23,6,54.53,87,185.2,153,0
10270,49,Male,1,105,12.48,18,28.34,88,113.57,155,1
10271,33,Female,3,117,15.37,25,21.85,77,121.53,23,1
10272,19,Male,2,60,5.92,22,3.0,16,236.94,323,0
10273,26,Male,2,63,14.74,3,39.98,13,517.71,172,0
10274,68,Female,2,6,11.72,4,29.09,95,95.23,49,0
10275,40,Male,2,28,7.57,17,46.77,102,187.57,62,1
10276,43,Male,3,4,3.46,24,12.42,9,369.53,133,0
10277,42,Male,2,103,11.25,22,31.62,69,95.53,285,0
10278,59,Male,2,27,17.59,23,47.82,60,172.88,34,1
10279,21,Female,2,41,18.5,5,26.07,42,169.89,44,0
10280,22,Female,1,101,13.22,14,46.93,77,62.93,205,0
10281,32,Male,2,86,19.65,19,32.92,109,199.58,182,1
10282,43,Male,1,75,11.63,16,40.52,98,179.36,350,0
10283,53,Male,1,4,15.61,20,49.63,18,269.82,275,0
10284,44,Female,1,68,10.0,7,54.82,55,69.34,240,0
10285,41,Female,1,67,9.74,12,42.34,112,176.37,122,0
10286,67,Female,2,38,9.09,12,29.2,28,514.16,229,0
10287,26,Male,2,90,3.56,24,34.36,102,884.69,213,1
10288,48,Male,2,112,16.95,6,50.24,58,474.99,101,1
10289,46,Male,1,31,9.23,9,26.19,62,69.87,135,0
10290,43,Female,2,40,8.59,2,38.42,30,248.79,340,0
10291,60,Male,2,39,7.08,5,35.4,110,120.05,196,0
10292,32,Female,2,101,10.98,25,39.5,63,218.38,172,0
10293,68,Female,2,9,18.85,22,26.37,68,95.82,291,0
10294,35,Male,2,108,20.18,8,14.15,55,45.98,97,0
10295,46,Male,2,93,5.16,18,48.55,10,133.76,80,0
10296,45,Male,3,58,10.38,16,54.98,93,307.48,361,0
10297,63,Male,3,70,7.66,23,15.01,39,219.08,293,0
10298,41,Male,2,108,15.75,9,46.35,28,239.63,154,0
10299,33,Female,2,93,12.95,25,56.71,93,207.17,346,0
10300,19,Male,1,33,9.25,10,49.64,23,239.92,135,0
10301,37,Male,3,6,12.09,19,34.96,81,264.49,247,0
10302,61,Female,1,79,9.89,11,27.32,56,141.25,12,0
10303,18,Female,1,17,18.26,18,42.17,95,186.69,255,0
10304,65,Male,3,10,13.99,10,44.59,6,681.66,65,0
10305,46,Female,2,118,14.48,22,42.39,92,195.5,88,1
10306,25,Female,1,57,1.13,17,38.39,27,180.91,296,0
10307,34,Female,1,78,11.53,8,25.3,104,189.62,75,1
10308,47,Female,1,26,20.13,25,47.13,42,147.65,176,0
10309,34,Male,2,12,17.1,19,47.83,0,124.61,336,0
10310,23,Female,1,7,4.41,12,43.91,58,205.93,349,0
10311,53,Male,3,42,10.55,5,42.61,6,117.96,162,0
10312,53,Female,3,0,6.99,25,65.35,32,156.22,30,0
10313,24,Female,2,50,18.64,20,31.95,86,94.46,105,1
10314,32,Male,2,39,12.78,18,59.58,67,190.38,225,0
10315,30,Male,1,63,8.73,21,30.36,85,276.02,123,1
10316,52,Female,1,71,11.94,16,57.08,105,148.34,263,0
10317,56,Female,2,37,1.37,7,58.88,56,36.53,363,0
10318,56,Male,1,55,7.46,7,36.75,65,277.35,227,0
10319,67,Female,1,9,11.95,3,65.08,6,192.2,228,0
10320,58,Female,1,36,15.18,3,47.8,34,80.65,193,0
10321,34,Male,1,118,4.03,19,28.28,86,319.88,68,1
10322,23,Male,2,119,10.28,22,35.57,7,58.79,211,0
10323,50,Male,2,58,15.84,5,57.43,43,395.52,341,0
10324,66,Female,3,113,5.99,15,54.38,16,167.34,252,0
10325,69,Male,2,60,12.72,4,25.66,102,29.82,275,0
10326,30,Female,3,15,12.06,11,38.98,67,201.12,315,0
10327,30,Male,2,105,18.66,20,43.95,77,127.48,141,0
10328,19,Female,3,50,10.88,21,33.64,82,113.35,123,0
10329,25,Male,2,74,11.11,24,75.19,26,98.43,354,0
10330,47,Male,1,78,15.22,9,44.39,5,158.47,168,0
10331,46,Female,3,37,6.49,24,40.1,47,119.86,268,0
10332,37,Male,1,88,10.92,20,58.27,22,41.12,232,0
10333,34,Female,1,60,9.98,10,35.7,38,472.01,45,0
10334,61,Female,1,44,11.24,9,55.61,38,144.63,115,0
10335,42,Female,2,36,15.19,4,16.82,93,98.88,119,0
10336,60,Female,2,90,14.02,24,34.42,38,72.57,65,0
10337,69,Male,2,30,8.81,6,56.21,18,319.24,285,0
10338,34,Female,3,15,12.35,8,63.77,115,63.56,353,0
10339,28,Female,1,106,17.76,11,29.79,5,194.28,353,0
10340,68,Male,2,40,8.47,5,28.1,24,111.0,71,0
10341,51,Male,2,77,12.38,21,49.23,41,116.16,164,0
10342,33,Female,3,86,11.03,18,31.97,7,74.0,85,0
10343,50,Male,1,101,11.55,5,37.11,107,107.87,22,0
10344,45,Female,1,75,5.28,5,53.71,42,176.21,226,0
10345,65,Female,2,85,17.44,2,33.11,93,210.26,314,0
10346,31,Female,2,101,8.7,24,12.5,16,94.82,28,0
10347,70,Male,3,114,15.9,12,22.13,62,163.02,234,0
10348,67,Male,2,5,9.31,17,41.14,15,349.95,12,0
10349,27,Male,3,89,9.3,5,13.98,27,47.84,308,0
10350,26,Male,2,21,16.65,7,36.69,48,174.15,23,0
10351,46,Female,1,107,15.78,14,20.81,103,83.36,159,1
10352,20,Female,1,5,12.63,7,64.78,36,76.99,45,0
10353,33,Male,1,29,14.84,16,72.39,90,214.51,150,0
10354,41,Male,2,23,10.65,24,25.66,11,114.38,157,0
10355,69,Female,2,73,11.77,9,44.72,30,67.74,197,0
10356,70,Male,2,0,9.15,16,27.07,72,491.63,303,0
10357,26,Female,2,2,15.42,23,36.51,56,358.69,364,0
10358,65,Male,2,61,9.03,23,67.15,60,38.77,125,0
10359,22,Female,2,117,17.74,2,34.23,81,55.41,337,0
10360,57,Male,2,63,10.54,4,36.85,9,278.02,156,0
10361,62,Female,1,53,11.88,25,27.33,83,140.13,43,1
10362,65,Male,2,79,14.83,24,57.62,103,564.1,219,1
10363,29,Female,2,66,11.9,9,3.0,91,283.02,264,0
10364,65,Male,2,46,10.61,14,34.58,34,221.05,110,0
10365,24,Male,1,71,11.68,15,40.33,42,78.86,215,0
10366,45,Female,2,0,15.38,18,31.41,115,256.75,158,1
10367,42,Male,2,29,9.15,20,53.52,94,64.7,53,0
10368,34,Male,2,81,11.3,10,58.43,111,484.38,141,1
10369,19,Male,1,41,11.84,23,20.53,109,243.24,156,1
10370,58,Male,2,6,15.26,3,71.36,52,91.97,125,0
10371,35,Male,3,15,11.4,2,20.36,15,327.81,334,0
10372,53,Female,1,104,19.03,24,59.69,27,1005.43,142,1
10373,39,Male,3,39,11.17,6,43.17,35,147.68,229,0
10374,37,Female,1,2,10.85,25,33.7,100,268.84,4,1
10375,64,Female,2,88,11.12,8,35.06,33,124.96,114,0
10376,23,Male,2,64,6.53,10,40.51,43,187.05,324,0
10377,57,Female,1,54,7.65,2,44.02,102,54.01,326,0
10378,57,Female,3,108,9.68,24,27.66,19,174.93,357,0
10379,38,Female,2,37,16.34,10,37.61,79,181.05,20,0
10380,31,Male,3,69,11.67,6,29.83,66,711.95,315,1
10381,18,Male,1,90,9.86,13,23.38,118,43.15,97,0
10382,67,Male,3,73,16.71,5,29.15,58,140.57,2,0
10383,68,Female,3,25,18.0,20,24.33,62,477.96,33,1
10384,30,Female,2,82,16.82,3,34.91,102,144.92,274,0
10385,19,Female,1,89,8.39,13,47.27,119,153.11,216,0
10386,24,Male,2,14,9.82,11,42.75,87,91.36,209,0
10387,21,Female,2,20,19.05,2,69.63,83,84.55,322,0
10388,62,Male,3,81,12.76,3,8.95,105,42.12,34,1
10389,65,Female,2,14,10.73,14,47.81,117,107.13,30,0
10390,26,Male,1,106,14.67,11,41.09,88,80.89,341,0
10391,57,Female,1,13,15.83,5,52.83,35,191.88,221,0
10392,27,Female,2,117,9.51,5,51.39,77,94.67,284,0
10393,37,Male,3,81,12.68,21,38.61,28,120.39,192,0
10394,49,Male,1,53,15.51,19,43.5,60,122.99,53,1
10395,56,Female,3,32,7.16,16,30.21,53,168.55,191,0
10396,64,Male,3,41,11.85,22,49.9,118,115.88,352,0
10397,20,Female,1,90,7.34,3,13.76,66,76.45,43,0
10398,28,Female,1,91,7.87,18,52.26,115,187.11,46,0
10399,32,Female,2,25,9.55,20,40.66,96,402.39,126,1
10400,34,Male,2,65,13.71,6,33.94,101,193.44,166,0
10401,70,Male,1,120,10.51,14,37.63,20,108.76,230,0
10402,59,Male,3,31,9.21,20,38.69,93,158.97,58,0
10403,34,Female,2,83,12.01,16,59.81,30,35.35,341,0
10404,69,Male,3,20,7.21,7,87.89,69,156.97,54,0
10405,44,Male,3,100,13.52,17,58.69,58,128.06,73,0
10406,44,Male,3,20,16.33,20,32.8,31,84.49,354,0
10407,40,Female,2,36,11.48,2,50.13,118,97.33,137,0
10408,25,Male,1,55,10.99,15,50.76,105,127.08,209,0
10409,67,Female,2,44,13.29,14,27.59,68,379.52,159,1
10410,18,Female,1,20,3.69,10,22.72,1,410.18,94,0
10411,27,Female,2,77,13.95,3,40.08,21,84.85,185,0
10412,30,Female,1,2,24.21,4,52.71,27,116.83,284,0
10413,32,Female,2,119,11.31,20,17.63,116,119.17,4,1
10414,24,Female,1,6,11.32,21,30.55,48,329.06,320,0
10415,18,Male,1,40,14.77,12,49.3,5,196.03,67,0
10416,53,Female,1,112,18.38,24,41.6,70,188.14,335,0
10417,69,Female,2,18,15.7,24,61.54,114,265.89,352,0
10418,24,Female,3,8,3.18,17,20.54,67,109.9,341,0
10419,33,Female,1,90,14.05,15,75.11,53,507.05,238,0
10420,44,Female,3,8,22.09,25,18.7,21,174.76,331,0
10421,67,Female,3,108,14.29,16,11.58,105,89.76,314,1
10422,54,Male,2,54,7.18,24,40.15,12,146.3,233,0
10423,58,Male,2,105,12.93,25,24.55,112,457.46,326,1
10424,48,Male,2,29,6.68,6,40.44,26,125.61,125,0
10425,40,Male,1,17,16.73,17,39.93,16,367.03,305,0
10426,28,Male,2,116,7.98,19,38.16,41,107.45,338,0
10427,63,Male,1,92,12.1,21,28.79,0,96.31,232,0
10428,60,Male,3,110,8.37,10,47.27,1,292.74,44,0
10429,19,Female,3,38,9.61,22,36.4,22,88.51,78,0
10430,55,Male,3,48,17.74,13,57.0,83,332.41,61,0
10431,22,Female,2,69,12.21,11,38.38,97,230.22,195,0
