CustomerID,Name,Age,Income,LoanAmount,LoanTerm,CreditScore,Default,TransactionHistory,is_age_valid,is_income_valid,is_loan_amount_valid,is_credit_score_valid,is_valid
11,Customer_11,54.0,6997.0,29638,30,370,0,"[{""amount"": 916, ""date"": ""2023-06-27""}, {""amount"": 441, ""date"": ""2023-05-09""}, {""amount"": 634, ""date"": ""2023-03-05""}, {""amount"": 949, ""date"": ""2023-10-21""}, {""amount"": 736, ""date"": ""2023-02-15""}, {""amount"": 602, ""date"": ""2023-02-17""}]",True,True,True,True,True
12,Customer_12,41.0,14792.0,39245,56,431,0,"[{""amount"": 532, ""date"": ""2023-02-11""}, {""amount"": 347, ""date"": ""2023-03-27""}, {""amount"": 201, ""date"": ""2023-04-07""}, {""amount"": 564, ""date"": ""2023-01-18""}, {""amount"": 638, ""date"": ""2023-09-19""}, {""amount"": 808, ""date"": ""2023-11-09""}, {""amount"": 685, ""date"": ""2023-08-02""}, {""amount"": 911, ""date"": ""2023-11-16""}, {""amount"": 765, ""date"": ""2023-04-25""}, {""amount"": 572, ""date"": ""2023-07-17""}, {""amount"": 418, ""date"": ""2023-07-18""}, {""amount"": 795, ""date"": ""2023-05-22""}, {""amount"": 368, ""date"": ""2023-05-11""}]",True,True,True,True,True
13,Customer_13,24.0,8056.0,5442,35,391,0,"[{""amount"": 162, ""date"": ""2023-09-04""}, {""amount"": 868, ""date"": ""2023-01-20""}, {""amount"": 775, ""date"": ""2023-12-09""}, {""amount"": 631, ""date"": ""2023-09-07""}, {""amount"": 735, ""date"": ""2023-01-31""}, {""amount"": 603, ""date"": ""2023-08-26""}, {""amount"": 304, ""date"": ""2023-09-01""}, {""amount"": 803, ""date"": ""2023-01-26""}, {""amount"": 917, ""date"": ""2023-01-18""}]",True,True,True,True,True
14,Customer_14,42.0,4710.0,26068,57,513,0,"[{""amount"": 371, ""date"": ""2023-10-09""}, {""amount"": 179, ""date"": ""2023-11-10""}, {""amount"": 383, ""date"": ""2023-09-24""}, {""amount"": 364, ""date"": ""2023-08-30""}, {""amount"": 828, ""date"": ""2023-05-29""}]",True,True,False,True,False
15,Customer_15,42.0,16591.0,48392,23,407,0,"[{""amount"": 819, ""date"": ""2023-08-11""}, {""amount"": 279, ""date"": ""2023-12-12""}, {""amount"": 584, ""date"": ""2023-02-26""}, {""amount"": 866, ""date"": ""2023-05-18""}, {""amount"": 978, ""date"": ""2023-12-18""}, {""amount"": 263, ""date"": ""2023-09-30""}, {""amount"": 203, ""date"": ""2023-09-27""}, {""amount"": 980, ""date"": ""2023-02-10""}, {""amount"": 453, ""date"": ""2023-04-22""}, {""amount"": 537, ""date"": ""2023-04-18""}, {""amount"": 990, ""date"": ""2023-05-21""}, {""amount"": 109, ""date"": ""2023-02-11""}, {""amount"": 372, ""date"": ""2023-02-05""}, {""amount"": 425, ""date"": ""2023-02-05""}, {""amount"": 553, ""date"": ""2023-04-04""}, {""amount"": 405, ""date"": ""2023-10-16""}, {""amount"": 863, ""date"": ""2023-11-29""}]",True,True,True,True,True
16,Customer_16,30.0,11988.0,38793,49,681,0,"[{""amount"": 719, ""date"": ""2023-10-29""}, {""amount"": 872, ""date"": ""2023-09-19""}, {""amount"": 445, ""date"": ""2023-12-12""}, {""amount"": 282, ""date"": ""2023-02-23""}, {""amount"": 103, ""date"": ""2023-02-14""}, {""amount"": 639, ""date"": ""2023-12-12""}, {""amount"": 400, ""date"": ""2023-06-19""}, {""amount"": 702, ""date"": ""2023-03-26""}]",True,True,True,True,True
17,Customer_17,19.0,9018.0,19036,39,407,0,"[{""amount"": 112, ""date"": ""2023-12-04""}, {""amount"": 705, ""date"": ""2023-11-26""}, {""amount"": 294, ""date"": ""2023-07-13""}, {""amount"": 796, ""date"": ""2023-04-10""}, {""amount"": 887, ""date"": ""2023-08-20""}]",True,True,True,True,True
18,Customer_18,56.0,2123.0,22101,54,773,0,"[{""amount"": 739, ""date"": ""2023-10-21""}, {""amount"": 367, ""date"": ""2023-05-27""}, {""amount"": 731, ""date"": ""2023-10-18""}, {""amount"": 154, ""date"": ""2023-06-03""}, {""amount"": 694, ""date"": ""2023-12-29""}, {""amount"": 783, ""date"": ""2023-05-18""}, {""amount"": 856, ""date"": ""2023-01-28""}, {""amount"": 379, ""date"": ""2023-09-15""}, {""amount"": 478, ""date"": ""2023-09-20""}]",True,True,False,True,False
19,Customer_19,57.0,17811.0,14818,20,799,0,"[{""amount"": 192, ""date"": ""2023-04-06""}, {""amount"": 948, ""date"": ""2023-11-02""}, {""amount"": 457, ""date"": ""2023-04-22""}, {""amount"": 715, ""date"": ""2023-04-11""}, {""amount"": 271, ""date"": ""2023-02-01""}, {""amount"": 165, ""date"": ""2023-09-08""}, {""amount"": 134, ""date"": ""2023-04-11""}, {""amount"": 398, ""date"": ""2023-07-23""}, {""amount"": 319, ""date"": ""2023-08-30""}, {""amount"": 579, ""date"": ""2023-06-18""}, {""amount"": 356, ""date"": ""2023-07-15""}, {""amount"": 422, ""date"": ""2023-03-08""}, {""amount"": 401, ""date"": ""2023-07-29""}, {""amount"": 880, ""date"": ""2023-12-26""}, {""amount"": 589, ""date"": ""2023-12-10""}, {""amount"": 362, ""date"": ""2023-03-28""}, {""amount"": 928, ""date"": ""2023-05-08""}]",True,True,True,True,True
20,Customer_20,41.0,8460.0,36851,48,755,0,"[{""amount"": 668, ""date"": ""2023-07-26""}, {""amount"": 420, ""date"": ""2023-05-05""}, {""amount"": 392, ""date"": ""2023-04-07""}, {""amount"": 840, ""date"": ""2023-01-19""}, {""amount"": 893, ""date"": ""2023-12-17""}, {""amount"": 579, ""date"": ""2023-07-07""}, {""amount"": 627, ""date"": ""2023-08-05""}, {""amount"": 890, ""date"": ""2023-11-19""}]",True,True,True,True,True
21,Customer_21,64.0,7672.0,42864,48,393,0,"[{""amount"": 261, ""date"": ""2023-12-29""}, {""amount"": 472, ""date"": ""2023-04-16""}, {""amount"": 531, ""date"": ""2023-11-12""}, {""amount"": 465, ""date"": ""2023-01-20""}, {""amount"": 178, ""date"": ""2023-10-22""}, {""amount"": 137, ""date"": ""2023-10-19""}, {""amount"": 367, ""date"": ""2023-12-25""}, {""amount"": 768, ""date"": ""2023-08-16""}, {""amount"": 910, ""date"": ""2023-08-12""}, {""amount"": 785, ""date"": ""2023-07-29""}, {""amount"": 653, ""date"": ""2023-12-01""}, {""amount"": 652, ""date"": ""2023-04-25""}]",True,True,False,True,False
22,Customer_22,42.0,11425.0,23281,22,301,0,"[{""amount"": 290, ""date"": ""2023-08-12""}, {""amount"": 667, ""date"": ""2023-10-18""}, {""amount"": 850, ""date"": ""2023-10-15""}, {""amount"": 567, ""date"": ""2023-11-10""}, {""amount"": 713, ""date"": ""2023-01-24""}, {""amount"": 688, ""date"": ""2023-08-27""}, {""amount"": 180, ""date"": ""2023-12-20""}, {""amount"": 642, ""date"": ""2023-04-02""}]",True,True,True,True,True
23,Customer_23,35.0,3320.0,21410,53,323,0,"[{""amount"": 330, ""date"": ""2023-12-09""}, {""amount"": 485, ""date"": ""2023-01-15""}, {""amount"": 740, ""date"": ""2023-08-24""}, {""amount"": 109, ""date"": ""2023-10-19""}, {""amount"": 946, ""date"": ""2023-02-02""}, {""amount"": 798, ""date"": ""2023-06-04""}, {""amount"": 368, ""date"": ""2023-11-05""}, {""amount"": 273, ""date"": ""2023-12-01""}, {""amount"": 119, ""date"": ""2023-04-04""}, {""amount"": 474, ""date"": ""2023-12-04""}, {""amount"": 170, ""date"": ""2023-08-28""}, {""amount"": 261, ""date"": ""2023-07-25""}, {""amount"": 314, ""date"": ""2023-10-27""}]",True,True,False,True,False
24,Customer_24,55.0,16395.0,35107,59,515,0,"[{""amount"": 157, ""date"": ""2023-05-31""}, {""amount"": 338, ""date"": ""2023-09-28""}, {""amount"": 968, ""date"": ""2023-03-11""}, {""amount"": 366, ""date"": ""2023-03-09""}, {""amount"": 104, ""date"": ""2023-06-30""}]",True,True,True,True,True
25,Customer_25,43.0,4538.0,37747,7,644,0,"[{""amount"": 408, ""date"": ""2023-08-11""}, {""amount"": 489, ""date"": ""2023-01-12""}, {""amount"": 160, ""date"": ""2023-05-22""}, {""amount"": 752, ""date"": ""2023-11-09""}, {""amount"": 489, ""date"": ""2023-11-10""}, {""amount"": 514, ""date"": ""2023-08-15""}, {""amount"": 478, ""date"": ""2023-11-14""}, {""amount"": 741, ""date"": ""2023-10-27""}, {""amount"": 500, ""date"": ""2023-02-22""}, {""amount"": 536, ""date"": ""2023-05-03""}, {""amount"": 980, ""date"": ""2023-01-08""}, {""amount"": 246, ""date"": ""2023-05-31""}, {""amount"": 898, ""date"": ""2023-11-21""}, {""amount"": 963, ""date"": ""2023-06-27""}, {""amount"": 852, ""date"": ""2023-05-18""}, {""amount"": 237, ""date"": ""2023-06-12""}, {""amount"": 842, ""date"": ""2023-09-05""}]",True,True,False,True,False
26,Customer_26,31.0,11694.0,14965,48,645,0,"[{""amount"": 176, ""date"": ""2023-05-17""}, {""amount"": 995, ""date"": ""2023-08-27""}, {""amount"": 124, ""date"": ""2023-06-14""}, {""amount"": 219, ""date"": ""2023-09-23""}, {""amount"": 106, ""date"": ""2023-09-22""}, {""amount"": 860, ""date"": ""2023-03-23""}, {""amount"": 429, ""date"": ""2023-05-10""}, {""amount"": 776, ""date"": ""2023-01-01""}, {""amount"": 670, ""date"": ""2023-10-25""}, {""amount"": 818, ""date"": ""2023-02-24""}, {""amount"": 575, ""date"": ""2023-01-27""}, {""amount"": 774, ""date"": ""2023-07-17""}, {""amount"": 226, ""date"": ""2023-01-08""}, {""amount"": 854, ""date"": ""2023-07-30""}, {""amount"": 348, ""date"": ""2023-06-07""}, {""amount"": 611, ""date"": ""2023-08-19""}, {""amount"": 308, ""date"": ""2023-11-14""}, {""amount"": 662, ""date"": ""2023-09-17""}, {""amount"": 789, ""date"": ""2023-04-01""}]",True,True,True,True,True
27,Customer_27,26.0,16561.0,13760,59,625,0,"[{""amount"": 453, ""date"": ""2023-08-05""}, {""amount"": 537, ""date"": ""2023-10-26""}, {""amount"": 774, ""date"": ""2023-07-22""}, {""amount"": 934, ""date"": ""2023-03-07""}, {""amount"": 605, ""date"": ""2023-09-25""}, {""amount"": 986, ""date"": ""2023-11-24""}, {""amount"": 519, ""date"": ""2023-05-26""}]",True,True,True,True,True
28,Customer_28,27.0,9774.0,13250,6,380,0,"[{""amount"": 556, ""date"": ""2023-02-07""}, {""amount"": 388, ""date"": ""2023-07-13""}, {""amount"": 717, ""date"": ""2023-01-05""}, {""amount"": 850, ""date"": ""2023-07-29""}, {""amount"": 576, ""date"": ""2023-12-18""}, {""amount"": 309, ""date"": ""2023-06-14""}, {""amount"": 548, ""date"": ""2023-08-26""}, {""amount"": 183, ""date"": ""2023-10-09""}, {""amount"": 129, ""date"": ""2023-09-13""}, {""amount"": 363, ""date"": ""2023-04-01""}, {""amount"": 490, ""date"": ""2023-06-09""}, {""amount"": 543, ""date"": ""2023-03-09""}, {""amount"": 360, ""date"": ""2023-09-15""}]",True,True,True,True,True
29,Customer_29,38.0,13941.0,32665,57,651,0,"[{""amount"": 748, ""date"": ""2023-11-16""}, {""amount"": 389, ""date"": ""2023-06-11""}, {""amount"": 475, ""date"": ""2023-01-30""}, {""amount"": 826, ""date"": ""2023-11-16""}, {""amount"": 509, ""date"": ""2023-04-04""}, {""amount"": 668, ""date"": ""2023-07-15""}, {""amount"": 462, ""date"": ""2023-12-14""}, {""amount"": 396, ""date"": ""2023-09-02""}, {""amount"": 208, ""date"": ""2023-09-27""}, {""amount"": 190, ""date"": ""2023-06-22""}, {""amount"": 636, ""date"": ""2023-12-21""}, {""amount"": 276, ""date"": ""2023-06-03""}, {""amount"": 800, ""date"": ""2023-02-01""}, {""amount"": 627, ""date"": ""2023-08-03""}, {""amount"": 581, ""date"": ""2023-05-20""}, {""amount"": 245, ""date"": ""2023-10-12""}, {""amount"": 399, ""date"": ""2023-05-08""}]",True,True,True,True,True
30,Customer_30,69.0,12456.0,34910,21,540,0,"[{""amount"": 464, ""date"": ""2023-02-06""}, {""amount"": 364, ""date"": ""2023-10-31""}, {""amount"": 873, ""date"": ""2023-01-31""}, {""amount"": 800, ""date"": ""2023-06-25""}, {""amount"": 919, ""date"": ""2023-01-03""}, {""amount"": 312, ""date"": ""2023-12-11""}, {""amount"": 592, ""date"": ""2023-07-10""}, {""amount"": 439, ""date"": ""2023-02-03""}, {""amount"": 906, ""date"": ""2023-03-22""}]",True,True,True,True,True
31,Customer_31,34.0,9011.0,20199,22,798,0,"[{""amount"": 776, ""date"": ""2023-09-29""}, {""amount"": 777, ""date"": ""2023-04-29""}, {""amount"": 970, ""date"": ""2023-09-24""}, {""amount"": 845, ""date"": ""2023-11-04""}, {""amount"": 247, ""date"": ""2023-07-01""}, {""amount"": 525, ""date"": ""2023-09-23""}, {""amount"": 173, ""date"": ""2023-06-07""}, {""amount"": 165, ""date"": ""2023-11-08""}]",True,True,True,True,True
32,Customer_32,69.0,9837.0,44132,14,653,0,"[{""amount"": 196, ""date"": ""2023-02-28""}, {""amount"": 258, ""date"": ""2023-10-20""}, {""amount"": 510, ""date"": ""2023-06-18""}, {""amount"": 228, ""date"": ""2023-11-11""}, {""amount"": 579, ""date"": ""2023-02-02""}, {""amount"": 117, ""date"": ""2023-09-21""}, {""amount"": 474, ""date"": ""2023-05-25""}, {""amount"": 739, ""date"": ""2023-12-29""}]",True,True,True,True,True
33,Customer_33,23.0,18151.0,36949,47,754,0,"[{""amount"": 386, ""date"": ""2023-12-05""}, {""amount"": 813, ""date"": ""2023-05-29""}, {""amount"": 285, ""date"": ""2023-07-24""}, {""amount"": 883, ""date"": ""2023-08-02""}, {""amount"": 782, ""date"": ""2023-06-16""}, {""amount"": 505, ""date"": ""2023-05-20""}, {""amount"": 342, ""date"": ""2023-11-22""}, {""amount"": 185, ""date"": ""2023-04-29""}, {""amount"": 570, ""date"": ""2023-04-18""}, {""amount"": 574, ""date"": ""2023-10-01""}, {""amount"": 761, ""date"": ""2023-11-04""}, {""amount"": 358, ""date"": ""2023-02-28""}, {""amount"": 660, ""date"": ""2023-02-11""}, {""amount"": 897, ""date"": ""2023-08-06""}, {""amount"": 964, ""date"": ""2023-03-18""}, {""amount"": 661, ""date"": ""2023-06-25""}, {""amount"": 217, ""date"": ""2023-02-08""}, {""amount"": 912, ""date"": ""2023-03-23""}, {""amount"": 483, ""date"": ""2023-06-07""}]",True,True,True,True,True
34,Customer_34,33.0,3408.0,29967,26,352,0,"[{""amount"": 306, ""date"": ""2023-06-14""}, {""amount"": 277, ""date"": ""2023-03-21""}, {""amount"": 515, ""date"": ""2023-03-06""}, {""amount"": 627, ""date"": ""2023-12-16""}, {""amount"": 971, ""date"": ""2023-07-06""}, {""amount"": 902, ""date"": ""2023-03-19""}, {""amount"": 534, ""date"": ""2023-05-04""}, {""amount"": 834, ""date"": ""2023-12-20""}, {""amount"": 922, ""date"": ""2023-04-27""}]",True,True,False,True,False
35,Customer_35,65.0,3111.0,48290,60,370,1,"[{""amount"": 415, ""date"": ""2023-05-05""}, {""amount"": 503, ""date"": ""2023-01-05""}, {""amount"": 303, ""date"": ""2023-06-28""}, {""amount"": 690, ""date"": ""2023-06-25""}, {""amount"": 560, ""date"": ""2023-12-25""}, {""amount"": 782, ""date"": ""2023-11-02""}, {""amount"": 640, ""date"": ""2023-03-26""}, {""amount"": 324, ""date"": ""2023-12-30""}]",True,True,False,True,False
36,Customer_36,18.0,5877.0,44185,49,631,0,"[{""amount"": 736, ""date"": ""2023-08-29""}, {""amount"": 329, ""date"": ""2023-11-09""}, {""amount"": 785, ""date"": ""2023-09-16""}, {""amount"": 941, ""date"": ""2023-01-28""}, {""amount"": 979, ""date"": ""2023-12-16""}, {""amount"": 390, ""date"": ""2023-11-09""}, {""amount"": 380, ""date"": ""2023-06-20""}, {""amount"": 657, ""date"": ""2023-07-22""}, {""amount"": 593, ""date"": ""2023-01-13""}, {""amount"": 104, ""date"": ""2023-09-04""}, {""amount"": 837, ""date"": ""2023-04-11""}]",True,True,False,True,False
37,Customer_37,36.0,15657.0,11852,31,545,0,"[{""amount"": 193, ""date"": ""2023-06-16""}, {""amount"": 430, ""date"": ""2023-02-12""}, {""amount"": 903, ""date"": ""2023-12-21""}, {""amount"": 670, ""date"": ""2023-07-24""}, {""amount"": 633, ""date"": ""2023-03-12""}, {""amount"": 579, ""date"": ""2023-05-21""}, {""amount"": 398, ""date"": ""2023-07-14""}, {""amount"": 251, ""date"": ""2023-11-27""}, {""amount"": 341, ""date"": ""2023-07-23""}]",True,True,True,True,True
38,Customer_38,53.0,17494.0,32055,6,401,0,"[{""amount"": 204, ""date"": ""2023-08-15""}, {""amount"": 693, ""date"": ""2023-03-10""}, {""amount"": 254, ""date"": ""2023-02-10""}, {""amount"": 875, ""date"": ""2023-05-11""}, {""amount"": 198, ""date"": ""2023-04-08""}, {""amount"": 271, ""date"": ""2023-10-13""}, {""amount"": 848, ""date"": ""2023-11-19""}, {""amount"": 562, ""date"": ""2023-08-30""}, {""amount"": 983, ""date"": ""2023-07-22""}, {""amount"": 304, ""date"": ""2023-10-30""}, {""amount"": 980, ""date"": ""2023-11-06""}]",True,True,True,True,True
39,Customer_39,42.0,16552.0,49766,55,803,0,"[{""amount"": 114, ""date"": ""2023-06-08""}, {""amount"": 818, ""date"": ""2023-08-30""}, {""amount"": 169, ""date"": ""2023-08-30""}, {""amount"": 720, ""date"": ""2023-05-25""}, {""amount"": 866, ""date"": ""2023-09-21""}, {""amount"": 759, ""date"": ""2023-09-16""}, {""amount"": 416, ""date"": ""2023-06-10""}, {""amount"": 711, ""date"": ""2023-05-27""}, {""amount"": 151, ""date"": ""2023-02-17""}, {""amount"": 989, ""date"": ""2023-03-03""}, {""amount"": 934, ""date"": ""2023-07-02""}]",True,True,True,True,True
40,Customer_40,67.0,19911.0,22756,45,837,1,"[{""amount"": 782, ""date"": ""2023-11-23""}, {""amount"": 121, ""date"": ""2023-10-29""}, {""amount"": 363, ""date"": ""2023-03-15""}, {""amount"": 211, ""date"": ""2023-08-06""}, {""amount"": 602, ""date"": ""2023-07-19""}, {""amount"": 360, ""date"": ""2023-04-24""}, {""amount"": 311, ""date"": ""2023-07-21""}, {""amount"": 831, ""date"": ""2023-05-29""}, {""amount"": 881, ""date"": ""2023-08-13""}, {""amount"": 755, ""date"": ""2023-05-03""}, {""amount"": 790, ""date"": ""2023-02-23""}, {""amount"": 937, ""date"": ""2023-07-24""}, {""amount"": 270, ""date"": ""2023-05-14""}, {""amount"": 920, ""date"": ""2023-04-23""}]",True,True,True,True,True
41,Customer_41,69.0,19705.0,24961,8,735,0,"[{""amount"": 927, ""date"": ""2023-10-14""}, {""amount"": 235, ""date"": ""2023-08-01""}, {""amount"": 951, ""date"": ""2023-10-18""}, {""amount"": 638, ""date"": ""2023-10-23""}, {""amount"": 694, ""date"": ""2023-05-26""}, {""amount"": 483, ""date"": ""2023-07-12""}, {""amount"": 210, ""date"": ""2023-07-09""}, {""amount"": 666, ""date"": ""2023-05-13""}, {""amount"": 156, ""date"": ""2023-08-06""}, {""amount"": 837, ""date"": ""2023-08-15""}, {""amount"": 235, ""date"": ""2023-06-21""}, {""amount"": 292, ""date"": ""2023-11-02""}, {""amount"": 556, ""date"": ""2023-01-02""}, {""amount"": 841, ""date"": ""2023-06-05""}, {""amount"": 271, ""date"": ""2023-11-11""}, {""amount"": 883, ""date"": ""2023-01-10""}, {""amount"": 892, ""date"": ""2023-12-31""}]",True,True,True,True,True
42,Customer_42,47.0,5952.0,13008,12,312,1,"[{""amount"": 854, ""date"": ""2023-06-24""}, {""amount"": 575, ""date"": ""2023-12-21""}, {""amount"": 145, ""date"": ""2023-03-07""}, {""amount"": 300, ""date"": ""2023-07-27""}, {""amount"": 764, ""date"": ""2023-05-06""}, {""amount"": 729, ""date"": ""2023-01-09""}, {""amount"": 733, ""date"": ""2023-10-23""}, {""amount"": 696, ""date"": ""2023-01-07""}, {""amount"": 328, ""date"": ""2023-10-30""}, {""amount"": 766, ""date"": ""2023-08-29""}, {""amount"": 691, ""date"": ""2023-01-08""}, {""amount"": 485, ""date"": ""2023-10-12""}, {""amount"": 372, ""date"": ""2023-06-07""}, {""amount"": 944, ""date"": ""2023-12-20""}]",True,True,True,True,True
43,Customer_43,37.0,5115.0,25154,9,485,0,"[{""amount"": 598, ""date"": ""2023-06-07""}, {""amount"": 274, ""date"": ""2023-04-05""}, {""amount"": 469, ""date"": ""2023-03-30""}, {""amount"": 499, ""date"": ""2023-11-07""}, {""amount"": 972, ""date"": ""2023-10-29""}, {""amount"": 699, ""date"": ""2023-02-17""}]",True,True,True,True,True
44,Customer_44,37.0,19518.0,12963,36,313,0,"[{""amount"": 142, ""date"": ""2023-05-31""}, {""amount"": 844, ""date"": ""2023-02-02""}, {""amount"": 460, ""date"": ""2023-08-09""}, {""amount"": 671, ""date"": ""2023-10-31""}, {""amount"": 977, ""date"": ""2023-06-06""}, {""amount"": 750, ""date"": ""2023-10-05""}, {""amount"": 815, ""date"": ""2023-12-02""}, {""amount"": 237, ""date"": ""2023-01-25""}, {""amount"": 405, ""date"": ""2023-11-03""}, {""amount"": 536, ""date"": ""2023-09-28""}]",True,True,True,True,True
45,Customer_45,32.0,4963.0,48014,19,662,1,"[{""amount"": 387, ""date"": ""2023-12-24""}, {""amount"": 897, ""date"": ""2023-08-17""}, {""amount"": 736, ""date"": ""2023-06-23""}, {""amount"": 180, ""date"": ""2023-02-28""}, {""amount"": 361, ""date"": ""2023-03-24""}, {""amount"": 789, ""date"": ""2023-07-29""}, {""amount"": 261, ""date"": ""2023-04-17""}, {""amount"": 406, ""date"": ""2023-01-17""}, {""amount"": 697, ""date"": ""2023-10-29""}]",True,True,False,True,False
