Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
39,0,0.513483,33,0,0.238659,,11,1,1,0,0.0
40,0,0.04609,54,0,0.189299,,13,0,1,0,1.0
41,0,0.132277,62,0,0.110421,6973.786252390352,9,1,0,0,6.0
42,0,0.124496,54,0,0.01884,,10,0,0,0,1.0
43,0,0.068391,50,0,0.075606,13399.650966858175,7,0,5,0,1.0
44,0,0.454962,47,0,0.210343,,7,0,1,1,0.0
45,0,0.269408,31,0,0.203269,,12,0,0,1,1.0
46,0,0.424195,41,1,0.240789,3026.4629435499282,8,0,3,1,1.0
47,0,0.400537,45,0,0.732192,3613.2636914836407,11,0,1,0,0.0
48,1,0.617747,66,1,0.127661,9210.942738124502,9,1,1,1,2.0
49,0,0.336028,56,0,0.062364,1282.5506522743467,11,1,0,0,0.0
50,0,0.165754,27,0,0.348381,2790.8285974605574,11,0,2,0,1.0
51,0,0.377482,56,0,0.701465,1465.169630978758,9,0,1,0,0.0
52,0,0.102947,46,0,0.593861,2250.654135107224,12,0,2,1,2.0
53,0,0.157542,42,0,0.223593,18113.959218565866,10,0,3,0,0.0
54,0,0.747385,60,0,0.269282,2259.7397281550348,11,0,2,1,1.0
55,0,0.254184,66,1,0.097042,2714.065090598933,12,0,1,0,0.0
56,0,0.096803,65,0,1.061344,516.2110540834467,11,0,1,0,0.0
57,0,0.274023,40,0,0.192699,,13,0,3,0,1.0
58,0,0.593081,47,0,0.174367,416.7217710870707,14,0,0,0,1.0
59,0,0.031328,56,1,0.415626,6219.60122000489,5,1,2,1,0.0
60,0,0.322336,65,0,0.064952,9143.108651391394,11,1,2,0,0.0
61,0,0.614662,45,1,0.012673,,9,0,0,0,0.0
62,0,0.08842,49,0,0.47798,1455.1829398769396,12,0,1,0,0.0
63,0,0.368164,36,0,0.198585,4662.257157219171,10,0,2,0,0.0
64,0,0.03346,35,0,0.195427,6991.682374933927,8,0,1,0,0.0
65,0,0.207964,63,1,0.639385,3604.6815356848683,9,0,1,1,0.0
66,1,0.219979,70,1,0.061444,1746.364844566124,9,0,2,1,2.0
67,0,40.117665,50,1,0.033283,10485.418634199026,4,0,0,0,0.0
68,0,0.200979,66,0,0.495899,,12,0,0,0,0.0
69,0,0.323799,57,0,0.206026,7176.21738122866,13,0,3,0,1.0
70,1,0.048679,42,1,0.339334,,6,1,1,0,
71,0,0.40759,57,1,1.541511,16013.759296910086,4,0,1,0,0.0
72,0,0.165765,73,0,0.026513,30987.705043244754,6,0,0,1,0.0
73,0,0.216039,51,0,0.226916,3120.696561272755,8,0,0,0,1.0
74,0,0.198826,73,1,1.402853,1912.963228169838,8,0,1,0,1.0
75,0,0.404163,18,0,0.025243,5503.833337361621,8,0,0,0,1.0
76,0,0.236307,63,0,0.745441,5054.342017166783,10,0,2,0,1.0
77,0,0.568361,53,0,0.439295,8026.408350761846,14,0,2,1,0.0
78,0,0.358717,47,0,0.179706,2677.94980025509,9,0,1,0,1.0
79,0,0.146263,53,1,0.150739,,8,1,1,0,0.0
80,0,0.247234,24,0,0.029717,,7,0,0,0,0.0
81,0,0.312157,48,0,0.576768,6256.440591449219,9,0,1,0,0.0
82,0,0.280002,56,0,0.009386,1982.466072241025,7,0,1,0,0.0
83,0,0.30976,72,1,0.039065,4444.907191578096,11,0,0,0,2.0
84,0,0.428859,44,0,0.239096,4615.037112952568,10,1,1,0,1.0
85,0,0.387633,40,0,0.079812,8315.457236825667,9,0,1,1,1.0
86,0,0.625556,44,1,0.145639,4603.047915029264,9,1,0,1,1.0
87,0,0.093214,64,1,0.689566,12416.880600936754,12,0,0,0,0.0
88,0,0.322152,56,0,0.135673,8310.117118948328,9,0,1,0,0.0
89,0,0.239703,44,0,0.156605,,11,0,0,1,2.0
90,0,0.057395,59,1,1.059531,4080.0867671159467,9,0,0,0,0.0
91,0,0.432435,53,1,0.071761,12437.47121295125,13,0,1,0,0.0
92,0,0.044208,65,1,0.170676,2335.525750900462,11,0,0,1,0.0
93,0,0.103717,42,0,0.018098,6098.127467175125,9,0,0,0,0.0
94,0,0.079417,47,0,0.581001,6639.472348751727,13,0,0,0,1.0
95,0,0.295405,46,0,0.099178,5509.00156385647,7,0,2,0,0.0
96,0,0.069489,31,0,0.808737,3623.39002771932,6,0,0,0,0.0
97,0,0.122455,56,1,1.097392,,10,0,0,0,0.0
98,0,0.151301,55,0,0.130116,,6,0,3,0,2.0
99,0,0.091866,52,0,0.152714,,8,0,3,1,1.0
100,0,0.18179,48,0,0.623647,10298.88058618013,4,0,0,1,0.0
101,0,0.248082,32,0,0.04828,3852.09623961962,9,1,2,0,2.0
102,0,0.037653,46,1,0.227094,32480.865885890315,7,0,1,0,1.0
103,1,0.125819,47,1,0.407285,,4,0,1,0,0.0
104,0,0.477299,40,0,0.806177,,9,0,1,1,1.0
105,0,0.631858,49,0,0.566743,2565.9384871839648,6,0,0,0,1.0
106,0,0.228024,57,1,0.069004,,8,0,2,1,0.0
107,0,0.056014,78,0,0.036524,1974.4585420402982,13,1,0,0,1.0
108,1,0.428849,54,1,0.940439,,7,0,2,0,0.0
109,0,0.369908,55,0,0.068686,,10,0,3,0,1.0
110,0,0.101506,50,0,0.013569,,4,1,2,1,0.0
111,0,0.87952,25,0,0.144398,3703.402049310995,12,0,0,1,1.0
112,0,0.282961,51,1,0.045958,7037.365521610635,8,0,0,0,1.0
113,0,0.297445,52,0,0.378357,10545.432030668318,13,0,2,0,0.0
114,0,0.175237,86,0,0.368276,7930.741666907985,9,0,2,1,2.0
115,0,0.196276,49,1,0.235575,4122.9491921208955,4,0,1,0,0.0
116,0,0.50723,56,1,0.184813,,9,0,2,0,0.0
117,0,0.256165,51,0,0.326689,,8,0,1,0,3.0
118,0,0.492865,35,0,0.398083,2294.525186595276,6,1,0,0,0.0
119,0,0.041918,67,1,0.227616,,2,0,1,1,1.0
120,0,0.055505,62,0,0.082979,25443.827497364993,9,0,1,1,1.0
121,0,0.263038,63,1,0.155813,6792.799914417811,12,0,0,0,0.0
122,0,0.452964,39,0,0.335086,,9,0,1,1,0.0
123,0,0.335673,71,0,0.272805,3564.318001120842,5,0,2,0,0.0
124,0,0.041849,32,1,0.247858,2050.58105841054,6,0,2,0,0.0
125,0,0.191769,60,2,0.020527,4613.806243868892,14,0,2,0,1.0
126,0,0.092685,82,1,0.070324,4405.401250244542,11,0,0,0,0.0
127,0,0.670577,38,0,0.131575,,8,0,0,0,1.0
128,0,0.09583,44,0,0.484954,2457.386972747389,13,1,2,0,1.0
129,0,0.277499,53,0,1.305518,10531.593189929808,8,0,3,0,0.0
130,0,0.316155,44,0,0.037084,1898.4966831835177,6,0,1,0,1.0
131,0,0.521977,30,0,0.152163,4210.882184298233,9,0,1,0,0.0
132,0,0.366368,52,1,0.319726,7123.4811034187205,11,0,1,0,0.0
133,0,0.071872,37,1,0.080698,7449.406827333768,4,1,1,0,1.0
134,1,0.275578,58,1,0.325918,17253.40027239065,6,0,0,0,0.0
135,0,0.060551,39,0,0.186605,3817.3130364535377,8,0,0,0,1.0
136,0,0.143631,73,1,1.040188,4984.531260757513,7,0,0,0,
137,0,0.124343,41,1,0.202358,,10,0,1,0,0.0
138,0,0.574447,47,1,0.05184,2953.5663527875627,3,0,0,0,1.0
139,0,0.217267,63,1,0.160793,4820.599636469245,5,0,0,0,0.0
140,0,0.216766,34,0,0.873566,5398.368431650923,7,1,0,1,1.0
141,0,0.109639,55,1,0.515997,,8,0,1,0,1.0
142,0,0.627654,70,0,0.141671,10886.923432713274,5,0,1,0,0.0
143,0,0.498507,29,0,0.288254,727.7690566621977,15,1,0,0,
144,0,0.127205,54,1,0.503047,3363.6143302255177,12,0,1,1,0.0
145,0,0.038822,55,0,0.198518,8708.415968568559,12,0,1,1,0.0
146,0,0.107872,62,0,0.187048,2385.2214734534814,9,1,2,0,0.0
147,0,0.458942,34,0,0.662471,2576.205690862233,6,0,1,0,0.0
148,0,0.255048,33,0,0.295708,,7,1,1,0,0.0
149,0,0.04935,59,0,0.114975,15970.099889492083,4,1,2,0,2.0
150,0,0.492665,56,0,0.439797,,7,0,1,0,1.0
151,0,0.111187,55,0,0.730184,4377.699610639448,13,0,0,0,0.0
152,0,0.245623,56,1,0.442538,1939.2462163396472,6,1,1,0,0.0
153,0,0.2956,42,0,0.065481,5816.606829407385,15,0,4,0,0.0
154,0,0.181531,55,0,0.262267,1613.1743456216457,8,1,4,0,0.0
155,0,0.081755,56,0,0.320129,882.6495909070442,5,0,0,0,2.0
156,0,0.42255,41,1,0.389745,,2,0,0,0,0.0
157,0,0.210164,78,0,0.202475,746.109384248439,4,0,1,0,0.0
158,0,0.020845,58,0,0.062562,,10,1,0,0,1.0
159,0,0.635708,35,0,0.154117,,8,0,0,0,1.0
160,0,0.039749,61,0,0.59232,17190.667686496807,9,0,1,0,1.0
161,0,0.144404,38,0,0.085591,9833.625261755871,6,1,0,0,0.0
162,0,0.570797,63,1,0.793264,10947.344629655072,9,0,1,0,0.0
163,0,0.162428,68,2,0.41885,3792.42425027951,7,0,4,0,0.0
164,0,0.165472,40,1,0.13793,,9,0,0,0,0.0
165,0,0.10887,65,0,0.202469,7311.384186567594,9,1,1,0,2.0
166,0,0.404638,57,3,0.123075,9289.635571803909,7,1,0,0,3.0
167,0,0.561607,63,0,0.294577,6783.636671445026,4,0,4,0,2.0
168,0,0.028642,78,0,0.194236,4902.661436189385,9,0,0,0,1.0
169,0,0.069804,48,0,0.111718,1750.6579846234392,6,0,0,0,0.0
170,0,0.193164,41,0,0.479898,983.5698736382931,8,0,1,0,0.0
171,0,0.201098,39,1,0.608668,5021.481214890424,9,0,1,0,1.0
172,0,0.346517,40,0,0.052331,13104.917005006482,10,0,1,0,0.0
173,0,0.607951,50,0,0.117184,1998.9835955158394,8,0,0,0,1.0
174,0,0.134968,56,1,0.263311,6567.348014436902,10,0,2,0,1.0
175,0,0.476537,55,0,0.164104,7400.300203081257,8,0,0,0,1.0
176,0,0.462346,63,1,0.273225,6804.954918431691,14,0,0,0,1.0
177,0,0.119275,52,0,0.064601,2275.352374249296,14,0,1,0,2.0
178,0,0.364746,72,1,0.07036,1240.0602088599467,13,0,0,0,1.0
179,0,0.017815,48,0,0.230209,2307.235482748006,6,0,1,0,1.0
180,0,0.038693,90,1,0.318915,5359.457212075429,6,0,1,0,0.0
181,0,0.354357,60,0,1.124832,2729.359452423121,8,0,3,2,0.0
182,0,0.362122,39,1,0.039956,4174.45136776845,5,1,0,2,1.0
183,0,0.265867,37,0,0.217095,4025.351057830382,14,0,0,0,1.0
184,0,0.572113,58,1,0.75518,3744.805413855598,7,0,1,0,0.0
185,0,0.170505,48,0,0.104486,,9,0,2,0,0.0
186,0,0.559931,61,0,0.196296,2220.5758748234575,9,0,2,1,2.0
187,0,0.043133,58,0,0.213763,7765.737336504251,6,0,0,0,1.0
188,0,0.557692,50,0,0.165726,2219.288837455419,6,0,2,0,0.0
189,0,0.159979,40,0,0.018122,5781.568097998772,9,0,0,0,
190,0,0.041074,30,0,0.444401,,5,1,1,0,1.0
191,1,0.134946,45,1,0.074601,,6,1,2,2,1.0
192,0,0.217236,63,1,0.476525,4665.549931781804,12,1,0,0,0.0
193,0,0.412976,54,0,0.132574,4108.651133167998,11,0,1,0,0.0
194,0,0.461039,34,1,0.981302,5727.5692155406705,11,0,1,0,0.0
195,0,0.064632,54,1,0.45886,6335.980795845908,9,0,0,0,2.0
196,0,0.038541,57,0,0.202273,1009.5434657309313,8,1,2,0,0.0
197,0,0.201947,39,0,0.05816,,4,0,3,0,0.0
198,0,0.19225,54,1,0.03318,6632.072696591996,8,0,1,0,2.0
199,0,0.113467,52,1,0.011677,4962.4629206116415,15,0,0,1,0.0
200,0,0.044172,35,0,0.052711,,4,0,5,0,0.0
201,0,0.391357,57,0,0.052045,6388.907180657067,10,0,2,0,0.0
202,0,0.290839,59,0,0.860742,,11,1,2,0,0.0
203,0,0.107344,67,1,0.022383,17013.025748378703,8,0,3,0,1.0
204,0,0.193795,66,1,0.053437,7008.383751547154,5,0,0,1,1.0
205,0,0.475767,32,0,0.109099,1763.1236369172605,8,0,1,0,1.0
206,0,0.192703,38,0,0.690927,,11,0,0,0,
207,0,0.574558,59,0,0.119836,3322.863738026899,10,0,1,1,0.0
208,0,0.371208,59,1,0.010674,6915.386097854849,8,0,1,1,4.0
209,0,0.350253,59,0,1.423489,9243.683803001484,8,0,3,0,1.0
210,0,0.253162,105,0,0.452154,5516.131340641602,4,0,1,0,0.0
211,0,0.102413,59,1,0.501064,,8,0,0,0,0.0
212,0,0.500652,67,0,0.492234,,7,0,2,1,0.0
213,0,0.042218,65,1,0.069951,,6,0,1,0,1.0
214,0,0.061189,61,0,0.017125,2293.860964767998,10,1,1,0,1.0
215,1,0.404627,47,0,0.186998,710.321088475524,9,1,1,1,2.0
216,0,0.855618,62,0,0.33028,2620.7540003538847,9,0,0,0,0.0
217,0,0.107259,41,0,0.148506,4073.591980628323,4,0,1,0,0.0
218,0,0.162383,48,1,0.339847,,3,1,0,0,0.0
219,0,0.280363,45,1,0.502132,,6,0,1,0,1.0
220,0,0.099077,53,0,0.122119,6689.477605333435,7,0,1,0,2.0
221,0,0.219012,84,0,1.051419,5733.082483265681,15,0,1,0,2.0
222,0,0.269967,25,0,0.706995,3291.9290459006547,13,0,0,0,2.0
223,0,0.156007,61,0,0.31413,2070.9250160742927,7,1,1,0,0.0
224,0,0.345942,29,0,0.187701,8270.346396238869,15,0,2,0,0.0
225,0,0.111617,45,0,0.34972,8522.424456076349,9,0,1,0,0.0
226,0,0.094711,67,0,0.973961,13406.938396892401,4,1,2,0,1.0
227,0,0.092434,52,1,0.10153,2667.9409364887656,5,0,0,1,1.0
228,0,0.27407,36,0,0.317637,1122.0849062049654,7,0,1,1,1.0
229,0,0.175126,41,0,0.263431,6838.170440770682,7,0,2,0,3.0
230,0,0.594507,61,0,0.597942,1068.9849202348712,11,0,0,2,1.0
231,0,0.693735,41,0,0.066956,,9,0,0,1,2.0
232,0,0.553162,55,0,1.343417,1975.8218435906585,7,0,0,0,1.0
233,0,19.591811,52,0,0.423255,4342.342905551782,11,1,1,0,0.0
234,0,0.330095,42,0,0.34973,,11,0,1,0,1.0
235,0,0.08376,82,1,0.155969,2938.0214735854856,4,1,2,0,1.0
236,0,0.1332,60,0,0.059699,2656.7422958100806,9,0,1,0,1.0
237,0,0.483799,23,0,0.166417,,14,0,3,0,1.0
238,0,0.20695,54,0,0.500387,14015.078932373697,9,0,1,0,0.0
239,0,0.186134,42,1,0.017118,6409.379458879617,4,0,1,0,0.0
240,0,0.3165,63,1,0.499814,,9,0,1,0,1.0
241,0,0.3108,40,1,0.089031,,8,1,1,0,2.0
242,0,0.566554,50,2,0.83423,6507.353420696668,5,0,3,0,0.0
243,0,0.417685,59,0,0.248439,712.3729187268322,6,0,0,0,0.0
244,0,0.509263,64,0,0.175541,3017.3972349353103,18,0,1,0,0.0
245,0,0.141045,35,0,0.202793,3156.6572607855883,8,0,0,0,2.0
246,0,0.016757,47,0,0.838731,3574.974191435871,12,0,0,0,1.0
247,1,3.863895,45,1,0.172033,3831.780404826651,4,1,1,0,1.0
248,1,0.012139,42,1,0.001294,3857.618907488505,6,0,0,0,0.0
249,0,0.095553,76,0,0.103511,,11,0,2,2,0.0
250,0,0.347282,57,0,0.113631,18515.85512976706,9,1,1,1,1.0
251,0,0.253614,34,2,0.130682,,12,0,0,1,1.0
252,0,0.522745,64,0,0.775713,4970.872675661687,6,0,1,0,1.0
253,0,0.166543,81,1,1.444827,13381.39858628293,4,0,0,0,0.0
254,0,0.332786,66,1,0.091105,1254.8102429434175,14,0,1,0,1.0
255,0,0.155796,30,0,0.234671,2334.7472521875966,6,0,0,0,0.0
256,0,0.466044,45,1,0.008976,,8,0,1,0,1.0
257,0,0.266053,69,1,0.668972,,4,1,3,0,0.0
258,0,0.483916,42,1,0.387864,8022.428292268142,11,0,1,0,2.0
259,0,0.18111,58,1,0.907912,3405.753668252066,16,0,2,0,0.0
260,0,0.423893,62,1,0.065613,5747.247454778293,7,0,0,0,2.0
261,0,0.193437,39,0,0.401338,,6,0,1,1,1.0
262,0,0.521805,51,0,0.82553,8855.772351582813,10,0,1,0,2.0
263,0,0.454153,18,0,0.238272,35668.46635342378,8,0,1,0,0.0
264,0,0.356373,37,0,0.030523,3818.031976106201,9,0,1,0,0.0
265,0,0.225297,48,1,0.104869,4463.642713804271,11,1,0,0,1.0
266,0,0.159823,34,0,0.138455,7875.547502035601,10,0,1,0,0.0
267,0,0.109051,74,0,0.025837,4961.308896361695,8,0,0,0,1.0
268,0,0.033152,31,0,0.094514,4159.380959086451,11,0,1,2,0.0
269,0,0.201974,45,0,0.085224,2979.7805754155415,9,0,2,0,0.0
270,0,0.322482,53,1,0.063176,5866.068183084515,8,1,0,0,2.0
271,0,0.184082,72,0,0.271528,,9,0,0,0,1.0
272,0,0.248903,31,0,0.322383,,9,0,2,0,0.0
273,0,0.358279,68,1,0.598876,2974.4928708428956,9,1,0,0,0.0
274,0,0.166277,52,0,1.639996,8022.950951915001,13,0,2,0,1.0
275,1,0.315739,38,1,1.487412,2845.3163491316855,5,1,0,1,2.0
276,0,0.202531,58,1,0.04152,3101.758759893606,10,0,2,0,0.0
277,0,0.348186,54,0,0.624694,,9,0,0,0,0.0
278,1,39.124954,43,0,0.301217,,9,0,2,2,1.0
279,0,0.159274,52,0,0.282233,3707.551524300873,8,1,0,0,0.0
280,0,0.527128,46,2,0.192656,,5,1,1,0,
281,0,0.1566,53,0,0.578827,1263.9777179232226,12,0,0,0,0.0
282,0,0.203839,61,0,0.12163,8434.032739674629,10,3,2,0,1.0
283,0,0.165088,74,1,0.73423,772.1772217202083,7,0,1,0,1.0
284,1,0.114785,34,1,0.500115,17392.896335301433,8,0,3,0,1.0
285,0,0.114806,81,1,0.638942,,10,0,4,0,
286,0,0.215122,24,0,0.255737,5331.069790716703,7,0,2,1,0.0
287,0,0.248674,49,0,0.359305,,12,0,2,1,0.0
288,0,0.270045,60,1,0.12829,4888.940043958937,9,0,0,0,1.0
289,0,0.080895,55,2,0.001298,3715.2608934057885,11,0,2,0,0.0
290,0,0.158651,43,0,0.206984,6821.700376332039,8,0,1,0,3.0
291,0,0.209735,49,1,0.143581,34538.03942046432,6,1,0,0,1.0
292,0,0.402533,45,1,0.246678,4361.8664182175935,7,0,0,0,1.0
293,0,0.254325,43,0,0.131675,23993.65700384735,5,1,0,0,2.0
294,0,0.052385,63,0,0.044559,11475.525803113649,7,0,0,0,0.0
295,0,0.491119,56,0,0.263233,6887.292500358031,4,1,0,0,1.0
296,0,0.102958,42,1,0.407826,,9,0,1,0,0.0
297,0,0.311481,64,0,0.039137,22314.586782193666,6,0,0,1,3.0
298,0,0.302803,56,1,0.016991,1070.023032130666,10,1,0,0,0.0
299,0,0.164205,63,0,0.430862,,10,0,0,0,0.0
300,0,0.257305,60,2,0.501897,18531.973666720296,10,1,1,0,1.0
301,0,0.008304,40,0,0.225553,4270.92473796492,8,0,1,2,0.0
302,0,0.303869,44,0,0.325146,3713.4979167892284,12,0,0,0,1.0
303,0,0.297137,62,0,0.438589,3355.515652979265,10,1,1,0,0.0
304,0,0.082123,60,2,0.466095,4087.132078867914,12,0,1,0,0.0
305,0,0.493706,51,0,0.249238,3262.4166526145004,8,0,3,0,0.0
306,0,0.395891,53,0,0.082343,5345.779197045594,7,0,2,1,0.0
307,0,0.281795,69,0,0.073777,1559.3095916176956,6,0,1,0,1.0
308,0,0.388329,43,1,0.099558,3977.746335821284,12,1,1,0,0.0
309,0,0.815396,59,0,0.054754,,6,0,0,0,0.0
310,0,0.291239,49,1,0.20043,,12,1,2,0,2.0
311,0,0.039872,48,0,0.140437,4197.397326018381,6,0,1,0,0.0
312,0,0.296445,67,0,0.140287,9044.226590523725,10,3,0,0,0.0
313,0,0.043492,63,0,0.028758,3594.944972035589,12,0,1,0,1.0
314,0,0.020198,63,0,0.086731,2766.2181980840264,14,0,1,0,0.0
315,0,0.241587,70,0,0.368145,4797.89015136441,6,0,1,0,0.0
316,0,0.264697,52,1,0.17077,10834.486995530351,12,0,1,1,0.0
317,0,0.315094,61,1,0.158002,6455.742661230519,9,0,0,0,0.0
318,0,17.226747,47,1,0.073846,10175.308705367752,4,1,3,0,1.0
319,0,0.109987,56,0,0.734868,,5,0,0,0,2.0
320,0,0.092609,50,0,0.015576,5005.28033711613,9,0,0,0,1.0
321,0,0.741738,53,0,0.741099,7860.554353970886,9,0,0,0,2.0
322,0,0.114969,60,0,0.660388,5519.826828810744,6,0,1,0,0.0
323,0,0.320091,40,0,0.908569,1814.7358244863601,7,0,0,0,0.0
324,0,0.46762,81,1,0.204298,,7,0,0,1,2.0
325,0,0.075326,37,0,1.739463,1319.442019859738,11,0,1,0,0.0
326,0,0.130443,35,1,0.047183,6325.5020491009755,7,0,2,0,1.0
327,1,0.712379,68,0,0.247923,9169.059551777225,10,2,1,0,1.0
328,1,0.196227,63,0,0.12443,8819.416065761994,6,0,0,0,0.0
329,0,0.276893,60,1,2.271029,,9,0,0,0,0.0
330,0,0.47894,60,0,0.924054,2485.925143763525,8,0,0,0,0.0
331,0,0.057309,51,0,0.052367,5796.531086107821,5,0,2,2,2.0
332,0,0.399476,39,0,0.024835,4307.633534737362,5,0,1,0,2.0
333,0,0.011507,53,2,0.769954,16864.745242616595,13,0,3,0,1.0
334,1,0.368723,42,1,1.097137,2050.655895374999,8,1,1,0,3.0
335,0,0.12561,65,0,0.092811,4402.259394911612,8,0,3,0,0.0
336,0,0.637484,49,1,0.272064,2254.7550263407047,4,0,0,0,0.0
337,0,0.533594,40,0,0.064863,2833.7956834887345,8,1,1,0,0.0
338,0,0.229179,47,0,0.963097,,6,0,0,0,0.0
339,1,0.091598,57,0,0.696909,5620.557689983691,8,1,2,0,1.0
340,0,0.324066,44,0,0.051876,3354.8702075178976,7,0,0,0,2.0
341,0,0.34246,40,1,0.603925,23135.905188267512,3,2,0,0,0.0
342,0,0.071554,55,0,0.019916,4245.039641941103,10,1,1,0,0.0
343,0,0.077255,55,0,0.279325,7080.903267548509,11,0,0,1,1.0
344,1,0.227342,44,1,0.031062,,13,0,1,1,1.0
345,0,0.778411,45,0,0.547579,2694.110326847941,10,0,1,0,0.0
346,0,21.710335,55,1,0.553813,2699.7517635079403,10,0,1,0,1.0
347,0,0.476588,31,0,1.014949,24523.81252919764,9,0,2,0,2.0
348,0,0.158736,32,0,0.463981,,13,0,0,0,1.0
349,0,0.426525,41,0,0.963062,7866.743094270861,8,0,0,0,0.0
350,0,0.273128,49,0,0.570383,7623.803482800996,5,0,0,1,0.0
351,0,0.24094,56,1,0.117976,13050.735959452551,10,1,1,0,0.0
352,0,0.367126,72,0,0.697405,3412.4312650446554,8,0,1,0,0.0
353,0,0.392025,64,1,0.028187,10466.36157665152,11,1,3,0,0.0
354,0,0.206446,49,0,0.50228,1922.6560063400445,11,0,1,0,0.0
355,0,0.008931,51,1,1.103195,5601.306688682795,12,0,2,0,1.0
356,1,0.126676,37,0,0.409796,14007.430407405569,8,0,0,0,1.0
357,0,0.325806,51,0,0.404207,2277.994255378892,8,2,1,0,
358,0,0.059859,47,0,0.26068,,5,0,3,0,1.0
359,0,0.265349,56,0,0.127239,12174.677074345036,6,0,1,0,2.0
360,0,0.49531,40,0,0.111078,,10,0,0,0,0.0
361,0,0.634206,59,1,0.249849,10355.175814169808,7,0,0,0,0.0
362,0,0.346644,73,0,1.099403,,8,0,2,1,0.0
363,0,0.194036,50,0,0.094835,2770.107864718567,13,0,1,1,
364,0,0.345636,57,0,0.635087,2997.518478447493,9,1,1,0,0.0
365,0,0.416888,61,0,0.028624,896.8348909791475,15,0,0,0,2.0
366,0,0.209344,46,1,0.535982,5232.402826343397,6,0,1,0,0.0
367,0,0.146608,55,0,0.562632,4390.571208341601,9,1,1,0,2.0
368,0,0.520196,52,0,0.734049,14104.975513907273,6,0,3,0,0.0
369,0,0.188303,53,0,0.376208,4170.940638218532,9,0,1,0,2.0
370,0,0.220892,41,0,0.284413,3466.807171152336,11,0,0,0,1.0
371,0,0.170011,52,0,0.425715,,5,1,3,1,1.0
372,0,0.159982,58,1,0.056963,2369.110447852662,9,0,2,0,1.0
373,0,0.169808,72,0,0.028475,14588.292734179642,4,0,2,1,0.0
374,0,21.831024,65,1,0.705226,18799.358987732892,5,0,2,0,2.0
375,0,0.017444,82,2,0.811651,2679.1086245565066,5,0,2,1,1.0
